Facility name,Address,Borough,ZIP Code,Accessible,Facility type
Central Harlem St Nick OAC -OLDER ADULTS ONLY,210 West 131st Street,Manhattan,10027,No,Older Adult Center
Bergen Basin Mill Basin OAC -OLDER ADULTS ONLY,2075 E 68 St,Brooklyn,11234,Yes,Older Adult Center
JASA Williamsburg OAC -OLDER ADULTS ONLY,202 Graham Av,Brooklyn,11206,Yes,Older Adult Center
Center on the Square OAC -OLDER ADULTS ONLY,20 Washington Square North,Manhattan,10011,Yes,Older Adult Center
Educational Alliance Weinberg Older Adult Center -OLDER ADULTS ONLY,197 East Broadway,Manhattan,10002,Yes,Older Adult Center
SBH Older Adult Center Senior Pavilion -OLDER ADULTS ONLY,1963 McDonald Avenue,Brooklyn,11223,Yes,Older Adult Center
Albany OAC -OLDER ADULTS ONLY,196 Albany Av,Brooklyn,11213,Yes,Older Adult Center
Grant Sq OAC -OLDER ADULTS ONLY,19 Grant Sq,Brooklyn,11216,Yes,Older Adult Center
University Settlement OAC -OLDER ADULTS ONLY,189 Allen St,Manhattan,10002,No,Older Adult Center
JCCGCI Kings Highway Older Adult Center -OLDER ADULTS ONLY,1879 East 3rd Street,Brooklyn,11223,Yes,Older Adult Center
JASA Van Cortlandt OAC -OLDER ADULTS ONLY,185 West 231st St,Bronx,10463,Yes,Older Adult Center
Council of Peoples Organization: Satellite -OLDER ADULTS ONLY,1814 Coney Island Ave,Brooklyn,11230,Yes,Older Adult Center
NYFSC Mott Street OAC -OLDER ADULTS ONLY,180 Mott St,Manhattan,10012,Yes,Older Adult Center
India Home Desi OAC -OLDER ADULTS ONLY,178-36 Wexford Terrace,Queens,11432,Yes,Older Adult Center
Wayside Out Glenmore Plaza Social Club -OLDER ADULTS ONLY,1777 Pitkin Avenue,Brooklyn,11212,No,Older Adult Center
Grand St Settlement Grand Coalition of Older Adults OAC -OLDER ADULTS ONLY,175 Delancy St 4th FlL,Manhattan,10002,Yes,Older Adult Center
Rochdale Village OAC -OLDER ADULTS ONLY,169-65 137 Av,Queens,11434,Yes,Older Adult Center
CPC Project Open Door Neighborhood OAC -OLDER ADULTS ONLY,168 Grand St,Manhattan,10013,Yes,Older Adult Center
SHOPP Soundview Social Club OAC -OLDER ADULTS ONLY,1674 Seward Avenue,Bronx,10473,No,Older Adult Center
RJ Rangel OAC -OLDER ADULTS ONLY,159-36 Harlem River Drive,Manhattan,10039,No,Older Adult Center
Stuyvesant Gardens Senior Club OAC -OLDER ADULTS ONLY,150 Malcolm X Boulevard,Brooklyn,11221,No,Older Adult Center
Casabe Senior Houses aka East Harlem OAC -OLDER ADULTS ONLY,150 E 121 St,Manhattan,10035,Yes,Older Adult Center
Bernikow OAC -OLDER ADULTS ONLY,1466 Manor Rd,Staten Island,10314,Yes,Older Adult Center
Marcus Garvey OAC -OLDER ADULTS ONLY,1440 East New York Avenue,Brooklyn,11212,No,Older Adult Center
Canaan Senior Service OAC -OLDER ADULTS ONLY,1428 5th Avenue,Manhattan,10026,Yes,Older Adult Center
FIND Aid Hamilton OAC -OLDER ADULTS ONLY,141 W 73 St,Manhattan,10023,Yes,Older Adult Center
Young at Heart Senior Center at the Flatbush YMCA OAC -OLDER ADULTS ONLY,1401 Flatbush Avenue,Brooklyn,11210,Yes,Older Adult Center
Robert Couche OAC -OLDER ADULTS ONLY,137-57 Farmers Blvd,Queens,11434,Yes,Older Adult Center
Seth Low Social Clubs CD16 -OLDER ADULTS ONLY,137 Belmont Avenue,Brooklyn,11212,No,Older Adult Center
Center at the Red Oak OAC -OLDER ADULTS ONLY,135 W 106 St,Manhattan,10025,Yes,Older Adult Center
Jackie Robinson OAC -OLDER ADULTS ONLY,1301 Amsterdam Ave.,Manhattan,10027,Yes,Older Adult Center
New Dorp Beach OAC -OLDER ADULTS ONLY,128 Cedar Grove Avenue,Staten Island,10306,Yes,Older Adult Center
FIND Aid Woodstock OAC -OLDER ADULTS ONLY,127 W 43 St,Manhattan,10036,Yes,Older Adult Center
Congregation Yetev Lev --Williamsburg Satmar OAC -OLDER ADULTS ONLY,125 Heyward St,Brooklyn,11206,Yes,Older Adult Center
Red Hook OAC -OLDER ADULTS ONLY,120 W 9 St,Brooklyn,11231,Yes,Older Adult Center
JASA Club 76 OAC -OLDER ADULTS ONLY,120 W 76 St,Manhattan,10023,Yes,Older Adult Center
ARC XVI Central Harlem OAC -OLDER ADULTS ONLY,120 W 140 St,Manhattan,10030,Yes,Older Adult Center
Hudson Guild OAC -OLDER ADULTS ONLY,119 9th Ave.,Manhattan,10011,Yes,Older Adult Center
CCNS Best Life OAC -OLDER ADULTS ONLY,118-35 Farmers Blvd.,Queens,11412,No,Older Adult Center
Bergen Basin Independence OAC -OLDER ADULTS ONLY,114 Taylor St,Brooklyn,11211,Yes,Older Adult Center
CORONA OAC -OLDER ADULTS ONLY,107-24 Corona Av,Queens,11368,Yes,Older Adult Center
Hope of Israel Senior Citizens Center -OLDER ADULTS ONLY,1068 Gerard Avenue,Bronx,10452,Yes,Older Adult Center
Willoughby OAC -OLDER ADULTS ONLY,105 North Portland Av,Brooklyn,11205,Yes,Older Adult Center
CCNS Ozone Park OAC -OLDER ADULTS ONLY,103-02 101 Av,Queens,11416,Yes,Older Adult Center
"Polish and Slavic Center, Inc -OLDER ADULTS ONLY",103 E 7 St,Manhattan,10009,Yes,Older Adult Center
Council Ctr for Senior Citizens OAC -OLDER ADULTS ONLY,1001 Quentin Rd,Brooklyn,11223,Yes,Older Adult Center
Schomburg Center for Research in Black Culture,515 Malcolm X Boulevard,Manhattan,10037,Yes,Library
Andrew Heiskell Braille & Talking Book Library,40 W 20 St,Manhattan,10011,Yes,Library
Library for the Performing Arts,40 Lincoln Center Plz,Manhattan,10023,Yes,Library
Bronx House Weinberg Neighborhood OAC -OLDER ADULTS ONLY,990 Pelham Pkwy S,Bronx,10461,Yes,Older Adult Center
Riverstone Senior Life Services OAC -OLDER ADULTS ONLY,99 Fort Washington Av,Manhattan,10032,Yes,Older Adult Center
SNAP Eastern Queens OAC (ISC) -OLDER ADULTS ONLY,80-45 Winchester Blvd Bldg. 4,Queens,11427,Yes,Older Adult Center
Leon OAC -OLDER ADULTS ONLY,735 E 152 St,Bronx,10455,Yes,Older Adult Center
MMCC-CDC Older Adult Center Marble Hill OAC -OLDER ADULTS ONLY,5365 Broadway,Bronx,10463,Yes,Older Adult Center
Sunnyside Community Services OAC -OLDER ADULTS ONLY,43-31 39 St,Queens,11104,Yes,Older Adult Center
NYFSC Dyckman Older Adult Center -OLDER ADULTS ONLY,3754 10 Av,Manhattan,10034,Yes,Older Adult Center
East Side House Melrose Older Adult Center -OLDER ADULTS ONLY,372 E 152 St,Bronx,10455,Yes,Older Adult Center
CCNS the Bay OAC -OLDER ADULTS ONLY,3643 Nostrand Av,Brooklyn,11229,Yes,Older Adult Center
Cypress Hills Fulton Street Senior Citizens OAC -OLDER ADULTS ONLY,3208 Fulton St,Brooklyn,11208,Yes,Older Adult Center
Patterson OAC -OLDER ADULTS ONLY,308 East 145 Street,Bronx,10451,No,Older Adult Center
East Side House Borinquen Court Mitchel OAC -OLDER ADULTS ONLY,295 East 138th Street,Bronx,10454,Yes,Older Adult Center
NYFSC LaGuardia OAC -OLDER ADULTS ONLY,280 Cherry St,Manhattan,10002,Yes,Older Adult Center
HANAC Harmony JVL ISC -OLDER ADULTS ONLY,27-40 Hoyt Av South,Queens,11102,Yes,Older Adult Center
Jefferson OAC -OLDER ADULTS ONLY,2205 First Av,Manhattan,10029,Yes,Older Adult Center
Bay Ridge Ctr for Health and Wellness -OLDER ADULTS ONLY,15 Bay Ridge Ave.,Brooklyn,11209,Yes,Older Adult Center
SNAP Brookville OAC -OLDER ADULTS ONLY,133-33 Brookville Blvd,Queens,11422,Yes,Older Adult Center
JASA Brookdale Village OAC -OLDER ADULTS ONLY,131 Beach 19 St,Queens,11691,Yes,Older Adult Center
HMH City Hall OAC -OLDER ADULTS ONLY,100 Gold St,Manhattan,10038,Yes,Older Adult Center
Gaylord White OAC -OLDER ADULTS ONLY,237 EAST 104TH ST,Manhattan,10029,Yes,Older Adult Center
Office of Assembly Member Rebecca A. Seawright,1485 York Avenue,Manhattan,10075,Yes,Other
Selfhelp Latimer NSC -OLDER ADULTS ONLY,34-30 137 St,Queens,11354,Yes,Older Adult Center
JCCGCI Marien-Heim OAC -OLDER ADULTS ONLY,870 Ocean Pkwy,Brooklyn,11230,Yes,Older Adult Center
Frederick Douglass Social Club -OLDER ADULTS ONLY,868 Amsterdam Av,Manhattan,10025,No,Older Adult Center
Selfhelp Maspeth NSC -OLDER ADULTS ONLY,69-61 Grand Av,Queens,11378,Yes,Older Adult Center
Mill Brook OAC -OLDER ADULTS ONLY,570 East 137th Street,Bronx,10454,Yes,Older Adult Center
Cypress Hills Adult Social Club OAC -OLDER ADULTS ONLY,475 Fountain Av,Brooklyn,11208,No,Older Adult Center
Selfhelp Benjamin Rosenthal OAC -OLDER ADULTS ONLY,45-25 Kissena Blvd,Queens,11355,Yes,Older Adult Center
Selfhelp Clearview NSC -OLDER ADULTS ONLY,208-11 26 Av,Queens,11360,Yes,Older Adult Center
Selfhelp Austin Street NSC -OLDER ADULTS ONLY,106-06 Queens Blvd,Queens,11375,Yes,Older Adult Center
JASA Sue Ginsburg OAC -OLDER ADULTS ONLY,975 Waring Avenue,Bronx,10469,Yes,Older Adult Center
QCH Rego Park OAC -OLDER ADULTS ONLY,97-30 Queens Blvd,Queens,11374,Yes,Older Adult Center
JASA HES OAC -OLDER ADULTS ONLY,9502 Seaview Av,Brooklyn,11236,Yes,Older Adult Center
PSS Davidson OAC -OLDER ADULTS ONLY,950 Union Av,Bronx,10459,Yes,Older Adult Center
Meltzer Social Club OAC -OLDER ADULTS ONLY,94 East 1 St,Manhattan,10009,No,Older Adult Center
CCNS Narrows OAC -OLDER ADULTS ONLY,930 53rd St.,Brooklyn,11219,Yes,Older Adult Center
CCNS Hillcrest OAC -OLDER ADULTS ONLY,91-34 182nd Pl,Queens,11432,Yes,Older Adult Center
Agudath Israel Moriah Older Adult Luncheon Club -OLDER ADULTS ONLY,90 Bennett Av,Manhattan,10033,Yes,Older Adult Center
Diana Jones ISC -OLDER ADULTS ONLY,9 Noll St,Brooklyn,11206,Yes,Older Adult Center
CCNS Woodhaven Richmond OAC -OLDER ADULTS ONLY,89-02 91 St,Queens,11421,Yes,Older Adult Center
SEBCO Senior Center OAC -OLDER ADULTS ONLY,887 Southern Blvd,Bronx,10459,Yes,Older Adult Center
JASA Holliswood OAC -OLDER ADULTS ONLY,86-25 Francis Lewis Blvd,Queens,11427,Yes,Older Adult Center
Palmetto Gardens Senior Club OAC -OLDER ADULTS ONLY,85 Palmetto Street,Brooklyn,11221,No,Older Adult Center
RAIN Inwood OAC -OLDER ADULTS ONLY,84 Vermilyea Av,Manhattan,10034,No,Older Adult Center
Borinquen Plaza OAC -OLDER ADULTS ONLY,80 Seigel St,Brooklyn,11206,Yes,Older Adult Center
Bronxworks Morris OAC -OLDER ADULTS ONLY,80 E 181 St,Bronx,10453,Yes,Older Adult Center
Bensonhurst OAC -OLDER ADULTS ONLY,7802 Bay Pkwy,Brooklyn,11214,Yes,Older Adult Center
CCNS The Lodge OAC -OLDER ADULTS ONLY,77-11 18 Av,Brooklyn,11214,Yes,Older Adult Center
Elmhurst OAC -OLDER ADULTS ONLY,75-01 Broadway,Queens,11373,Yes,Older Adult Center
RAIN Nereid OAC -OLDER ADULTS ONLY,720 Nereid Av,Bronx,10466,Yes,Older Adult Center
CCNS Pete MCGUINNESS OAC -OLDER ADULTS ONLY,715 Leonard St,Brooklyn,11222,Yes,Older Adult Center
JASA Roy Reuther OAC -OLDER ADULTS ONLY,7-11C Seagirt Avenue,Queens,11691,Yes,Older Adult Center
CASC New Lane Older Adult Center -OLDER ADULTS ONLY,70 New Ln,Staten Island,10305,Yes,Older Adult Center
Middle Village OAC -OLDER ADULTS ONLY,69-10 75 St,Queens,11379,Yes,Older Adult Center
Young Israel Programs Forest Hills OAC -OLDER ADULTS ONLY,68-07 Burns St,Queens,11375,Yes,Older Adult Center
QCH Pomonok OAC -OLDER ADULTS ONLY,67-09 Kissena Blvd,Queens,11367,Yes,Older Adult Center
Mount Loretto OAC -OLDER ADULTS ONLY,6581 Hylan Blvd,Staten Island,10309,Yes,Older Adult Center
Washington Heights Neighborhood Senior Center (STAR OAC) -OLDER ADULTS ONLY,650 W 187 St,Manhattan,10033,No,Older Adult Center
Kips Bay Castle Hill OAC -OLDER ADULTS ONLY,625 Castle Hill Av,Bronx,10473,Yes,Older Adult Center
Betances OAC -OLDER ADULTS ONLY,607 Concord Av,Bronx,10455,Yes,Older Adult Center
Goddard Riverside OAC at West 88th Street -OLDER ADULTS ONLY,593 Columbus Av,Manhattan,10024,Yes,Older Adult Center
Agudath Israel of America Boro Park Senior Citizens OAC -OLDER ADULTS ONLY,5602 11TH AVENUE,Brooklyn,11219,Yes,Older Adult Center
CCNS St. Charles OAC -OLDER ADULTS ONLY,55 Pierrepont St,Brooklyn,11201,Yes,Older Adult Center
Carver OAC -OLDER ADULTS ONLY,55 E 102 St,Manhattan,10029,Yes,Older Adult Center
CBN Roosevelt Island Senior Center -OLDER ADULTS ONLY,546 Main St,Manhattan,10044,Yes,Older Adult Center
Center for Adults Living Well @ the Y (OAC) -OLDER ADULTS ONLY,54 Nagle Av,Manhattan,10040,Yes,Older Adult Center
CCNS New Age -OLDER ADULTS ONLY,54 MACDONOUGH STREET,Brooklyn,11216,Yes,Older Adult Center
PSS Manhattanville OAC -OLDER ADULTS ONLY,530 W 133 St,Manhattan,10027,Yes,Older Adult Center
Bronxworks E Roberts Moore OAC -OLDER ADULTS ONLY,515 Jackson Av,Bronx,10455,Yes,Older Adult Center
PSS King Towers OAC -OLDER ADULTS ONLY,50 Lenox Ave,Manhattan,10026,No,Older Adult Center
Boro Park Y OAC -OLDER ADULTS ONLY,4912 14 Av,Brooklyn,11219,Yes,Older Adult Center
Sephardic Multi Services Senior Citizens Center Inc -OLDER ADULTS ONLY,485 Kings Hwy,Brooklyn,11223,Yes,Older Adult Center
United Neighborhood Senior Citizens OAC -OLDER ADULTS ONLY,475 53 St,Brooklyn,11220,Yes,Older Adult Center
Park Slope Ctr for Successful Aging OAC -OLDER ADULTS ONLY,463A 7 St,Brooklyn,11218,Yes,Older Adult Center
Arrochar OAC -OLDER ADULTS ONLY,44 Bionia Av,Staten Island,10305,Yes,Older Adult Center
Bronxworks Soundview OAC -OLDER ADULTS ONLY,391 Bronx River Avenue,Bronx,10473,Yes,Older Adult Center
Eileen Dugan Amico OAC -OLDER ADULTS ONLY,378 Court St,Brooklyn,11231,Yes,Older Adult Center
JASA Scheuer Coney Island OAC -OLDER ADULTS ONLY,3601 Surf Av,Brooklyn,11224,Yes,Older Adult Center
CCNS Catherine Sheridan OAC -OLDER ADULTS ONLY,35-24 83 St,Queens,11372,Yes,Older Adult Center
Carter Burden Luncheon Club OAC -OLDER ADULTS ONLY,351 E 74 St,Manhattan,10021,Yes,Older Adult Center
HANAC Ravenswood Older Adult Center -OLDER ADULTS ONLY,34-35A 12 St,Queens,11106,Yes,Older Adult Center
Central Harlem Kennedy OAC -OLDER ADULTS ONLY,34 W 134 St,Manhattan,10037,Yes,Older Adult Center
RAIN Gunhill OAC -OLDER ADULTS ONLY,3377 White Plains Rd,Bronx,10462,Yes,Older Adult Center
PSS Andrew Jackson OAC -OLDER ADULTS ONLY,325 E 156 St,Bronx,10451,No,Older Adult Center
CCNS Seaside OAC -OLDER ADULTS ONLY,320 Beach 94 St,Queens,11693,Yes,Older Adult Center
Ridgewood Bushwick OAC -OLDER ADULTS ONLY,319 Stanhope St,Brooklyn,11237,Yes,Older Adult Center
CBN Leonard Covello (ISC) Senior Program OAC -OLDER ADULTS ONLY,312 E 109 St,Manhattan,10029,Yes,Older Adult Center
Corsi OAC -OLDER ADULTS ONLY,307 E 116 St,Manhattan,10029,Yes,Older Adult Center
RAIN Middletown OAC -OLDER ADULTS ONLY,3035 Middletown Rd,Bronx,10461,Yes,Older Adult Center
JCCGCI Coney Island Seaside OAC (ISC) -OLDER ADULTS ONLY,3001 W 37 St,Brooklyn,11224,Yes,Older Adult Center
Northeast Bronx OAC -OLDER ADULTS ONLY,2968 Bruckner Blvd,Bronx,10465,Yes,Older Adult Center
JASA Luna Park Annex OAC -OLDER ADULTS ONLY,2880 W 12 St,Brooklyn,11224,Yes,Older Adult Center
Teresa Moore OAC -OLDER ADULTS ONLY,2702 Linden Blvd,Brooklyn,11208,Yes,Older Adult Center
JCW Workforce OAC -OLDER ADULTS ONLY,27 Barrow St,Manhattan,10014,Yes,Older Adult Center
JCCGCI Jay-Harama OAC -OLDER ADULTS ONLY,2600 Ocean Av,Brooklyn,11229,Yes,Older Adult Center
Goddard Riverside LSNC OAC @ West 65th St -OLDER ADULTS ONLY,250 W 65 St,Manhattan,10023,Yes,Older Adult Center
RAIN Boston Road OAC -OLDER ADULTS ONLY,2424 Boston Rd,Bronx,10467,Yes,Older Adult Center
RAIN Mt Carmel OAC -OLDER ADULTS ONLY,2405 Southern Blvd,Bronx,10458,Yes,Older Adult Center
Encore at St Malachy's -OLDER ADULTS ONLY,239 W 49 St,Manhattan,10019,Yes,Older Adult Center
Bronxworks East Concourse (My Spot/Mi Rincon OAC) -OLDER ADULTS ONLY,236 E Tremont Av,Bronx,10457,Yes,Older Adult Center
CCNS Dellamonica-Steinway OAC -OLDER ADULTS ONLY,23-56 Broadway,Queens,11106,Yes,Older Adult Center
CCNS Saint Louis OAC -OLDER ADULTS ONLY,230 Kingston Av,Brooklyn,11213,Yes,Older Adult Center
West Brighton Neighborhood OAC -OLDER ADULTS ONLY,230 Broadway,Staten Island,10310,Yes,Older Adult Center
CCNS Bayside OAC -OLDER ADULTS ONLY,221-15 Horace Harding Exwy,Queens,11364,Yes,Older Adult Center
Alpha Phi Alpha Senior Citizen OAC -OLDER ADULTS ONLY,220-01 Linden Blvd,Queens,11411,Yes,Older Adult Center
Thomas Guess OAC -OLDER ADULTS ONLY,2070 Clinton Av,Bronx,10457,Yes,Older Adult Center
"Stein Senior Center, Inc OAC -OLDER ADULTS ONLY",204 E 23 St,Manhattan,10010,Yes,Older Adult Center
Cothoa Luncheon Club OAC -OLDER ADULTS ONLY,2005 Amsterdam Av,Manhattan,10032,Yes,Older Adult Center
JCCGCI Ocean Parkway OAC -OLDER ADULTS ONLY,1960 E 7 St,Brooklyn,11223,Yes,Older Adult Center
Hope Gardens Multi Service OAC -OLDER ADULTS ONLY,195 Linden St.,Brooklyn,11221,No,Older Adult Center
Stapelton OAC -OLDER ADULTS ONLY,189 Gordon St,Staten Island,10304,No,Older Adult Center
Todt Hill OAC -OLDER ADULTS ONLY,184 Schmidts Ln,Staten Island,10314,Yes,Older Adult Center
James Monroe NSC -OLDER ADULTS ONLY,1776 Story Av,Bronx,10473,Yes,Older Adult Center
JASA Dreiser -OLDER ADULTS ONLY,177 Dreiser Loop,Bronx,10475,No,Older Adult Center
Young Israel Programs Midwood -OLDER ADULTS ONLY,1694 Ocean Av,Brooklyn,11230,Yes,Older Adult Center
Allen AME Community Older Adult Center -OLDER ADULTS ONLY,166-01 Linden Blvd,Queens,11434,Yes,Older Adult Center
Lehman Village Senior Program (Social Club) OAC -OLDER ADULTS ONLY,1641 Madison Av,Manhattan,10029,No,Older Adult Center
Bronx River OAC -OLDER ADULTS ONLY,1619 E 174 St,Bronx,10472,Yes,Older Adult Center
JASA Senior Alliance OAC -OLDER ADULTS ONLY,161 Corbin Pl,Brooklyn,11235,Yes,Older Adult Center
CCNS Howard Beach OAC -OLDER ADULTS ONLY,155-55 Cross Bay Blvd,Queens,11414,Yes,Older Adult Center
JASA Starrett City OAC -OLDER ADULTS ONLY,1540 Van Siclen Av,Brooklyn,11239,Yes,Older Adult Center
UJCES Lunch Club OAC -OLDER ADULTS ONLY,15 Willett Street,Manhattan,10002,Yes,Older Adult Center
Brooks OAC -OLDER ADULTS ONLY,143-22 109 Ave,Queens,11435,No,Older Adult Center
Dorchester Senior Citizens Center OAC -OLDER ADULTS ONLY,1419 Dorchester Rd,Brooklyn,11226,Yes,Older Adult Center
Young Israel Programs Queens Valley II -OLDER ADULTS ONLY,141-55 77 Av,Queens,11367,Yes,Older Adult Center
JASA Einstein OAC -OLDER ADULTS ONLY,135 Einstein Loop,Bronx,10475,No,Older Adult Center
CPC Nan Shan Neighborhood OAC -OLDER ADULTS ONLY,133-14 41 Avenue,Queens,11355,Yes,Older Adult Center
William Hodson Community Center Inc OAC -OLDER ADULTS ONLY,1320 Webster Av,Bronx,10456,Yes,Older Adult Center
Arturo Schomburg OAC -OLDER ADULTS ONLY,1315 Franklin Av,Bronx,10456,Yes,Older Adult Center
Avis South Shore OAC -OLDER ADULTS ONLY,1297 Arthur Kill Rd,Staten Island,10312,Yes,Older Adult Center
PSS Harlem OAC -OLDER ADULTS ONLY,127 West 127th Street,Manhattan,10027,Yes,Older Adult Center
CASC Cassidy Coles OAC -OLDER ADULTS ONLY,125 Cassidy Pl,Staten Island,10301,Yes,Older Adult Center
RAIN Eastchester Latin Soul Café OAC -OLDER ADULTS ONLY,1246 Burke Av,Bronx,10469,Yes,Older Adult Center
Allen AME Rockaway Blvd OAC -OLDER ADULTS ONLY,123-10 143 St,Queens,11436,Yes,Older Adult Center
JASA Bay Eden OAC -OLDER ADULTS ONLY,1220 E 229 St,Bronx,10466,Yes,Older Adult Center
UJCES Lillian Wald OAC Center -OLDER ADULTS ONLY,12 Avenue D,Manhattan,10009,Yes,Older Adult Center
PSS Highbridge OAC -OLDER ADULTS ONLY,1181 Nelson Av,Bronx,10452,Yes,Older Adult Center
PSS Highbridge Gardens OAC -OLDER ADULTS ONLY,1145 University Ave,Bronx,10452,Yes,Older Adult Center
Great Kills Friendship Club NSC -OLDER ADULTS ONLY,11 Sampson Av,Staten Island,10308,Yes,Older Adult Center
QCH Forest Hills OAC -OLDER ADULTS ONLY,108-25 62 Dr,Queens,11375,Yes,Older Adult Center
ARC XVI A Philip Randolph Center (ARC Ft Washington AOC) -OLDER ADULTS ONLY,108 W 146 St,Manhattan,10039,Yes,Older Adult Center
JASA Rockaway Park OAC -OLDER ADULTS ONLY,106-20 Shore Front Pkwy,Queens,11694,Yes,Older Adult Center
Bergen Basin Abe Stark Older Adult Center -OLDER ADULTS ONLY,10315 Farragut Rd,Brooklyn,11236,Yes,Older Adult Center
Queensbridge Center OAC -OLDER ADULTS ONLY,10-25 41St Avenue,Queens,11101,Yes,Older Adult Center
Florence E Smith OAC -OLDER ADULTS ONLY,102-19 34 Av,Queens,11368,Yes,Older Adult Center
St Nicks Alliance Cooper Park Social -OLDER ADULTS ONLY,288 Frost Street,Brooklyn,11211,No,Older Adult Center
Golden Phoenix 3 (Elmcor Lefrak NSC) -OLDER ADULTS ONLY,96-05 Horace Harding Expwy,Queens,11368,Yes,Older Adult Center
Golden Phoenix 2 (Elmcor Lefrak NSC) -OLDER ADULTS ONLY,95-18 Northern Blvd,Queens,11368,Yes,Older Adult Center
Italian Senior Citizens Center Inc OAC -OLDER ADULTS ONLY,83-20 Queens Blvd,Queens,11373,Yes,Older Adult Center
"Ridgewood Older Adult Center And Services, Inc OAC -OLDER ADULTS ONLY",59-14 70 Av,Queens,11385,Yes,Older Adult Center
Golden Phoenix 4 (Elmcor Lefrak NSC) -OLDER ADULTS ONLY,33-16 108th St.,Queens,11369,Yes,Older Adult Center
St Nicks Alliance Swinging Sixties OAC -OLDER ADULTS ONLY,211 Ainslie Street,Brooklyn,11211,Yes,Older Adult Center
"Southside Los Sures ""David Santiago"" OAC -OLDER ADULTS ONLY",201 South 4 St,Brooklyn,11211,Yes,Older Adult Center
Polish & Slavic Ctr Krakus OAC -OLDER ADULTS ONLY,176 Java St,Brooklyn,11222,Yes,Older Adult Center
JCCGCI Midwood OAC -OLDER ADULTS ONLY,1625 Ocean Avenue,Brooklyn,11230,Yes,Older Adult Center
Peter Cardella OAC -OLDER ADULTS ONLY,68-52 Fresh Pond Rd,Queens,11385,Yes,Older Adult Center
BRC OAC -OLDER ADULTS ONLY,30 Delancey St,Manhattan,10002,Yes,Older Adult Center
HANAC Angelo Petromelis Older Adult Center -OLDER ADULTS ONLY,13-28 123 St,Queens,11356,Yes,Older Adult Center
CCNS Northside OAC -OLDER ADULTS ONLY,179 North 6 St,Brooklyn,11211,No,Older Adult Center
Anderson Neighborhood OAC -OLDER ADULTS ONLY,120 Anderson Av,Staten Island,10302,Yes,Older Adult Center
YMCA - Glebe Older Adult Community Hub -OLDER ADULTS ONLY,2125 Glebe Avenue,Bronx,10462,No,Older Adult Center
PSS City Island OAC -OLDER ADULTS ONLY,116 City Island Avenue,Bronx,10464,Yes,Older Adult Center
Homecrest Bensonhurtst OAC & Ave T Brooklyn -OLDER ADULTS ONLY,7907 New Utrecht Av,Brooklyn,11214,Yes,Older Adult Center
Office of NYS Senator Jabari Brisport,906 Broadway 2nd Floor,Brooklyn,11206,Yes,Other